id,name,specialty,clinic_id,rating,experience,initials,slots
1,BS. Nguyễn Minh Tú,Tim mạch,1,4.9,12 năm,NT,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00,16:30"
2,BS. Trần Thị Lan,Nội tiêu hóa,1,4.7,8 năm,TL,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00,16:30"
3,BS. Lê Văn Hùng,Nhi khoa,1,4.8,10 năm,LH,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
4,BS. Phạm Thị Hoa,Da liễu,1,4.6,6 năm,PH,"08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00,16:30"
5,BS. Vũ Đức Mạnh,Thần kinh,2,4.8,15 năm,VM,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30"
6,BS. Hoàng Thị Mai,Tim mạch,2,4.7,9 năm,HM,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
7,BS. Đặng Quốc Bảo,Cơ xương khớp,2,4.9,11 năm,DB,"08:00,09:30,10:00,11:00,14:30,15:00,15:30,16:00,16:30"
8,BS. Ngô Thị Thu,Tim mạch,3,4.9,18 năm,NT,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00,16:30"
9,BS. Trịnh Văn Tân,Nội tiêu hóa,3,4.8,13 năm,TV,"08:00,08:30,09:30,10:00,14:30,15:00,15:30,16:00"
10,BS. Lý Thị Kim,Nhi khoa,4,4.7,7 năm,LK,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
11,BS. Phan Văn Minh,Hô hấp,1,4.7,9 năm,PM,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
12,BS. Nguyễn Thị Hạnh,Hô hấp,3,4.8,11 năm,NH,"08:00,09:00,09:30,10:00,11:00,14:00,14:30,15:00,15:30"
13,BS. Bùi Thanh Tùng,Nội tiết - Đái tháo đường,2,4.8,14 năm,BT,"08:00,08:30,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
14,BS. Đinh Thị Nga,Nội tiết - Đái tháo đường,3,4.7,10 năm,DN,"08:30,09:00,09:30,10:00,11:00,14:30,15:00,15:30,16:00"
15,BS. Cao Minh Khoa,Tiết niệu - Thận học,2,4.6,8 năm,CK,"08:00,08:30,09:30,10:00,14:30,15:00,15:30,16:00"
16,BS. Trần Văn Đạt,Tiết niệu - Thận học,3,4.7,12 năm,TD,"08:00,09:00,10:00,11:00,14:00,14:30,15:00,15:30,16:00"
